ID,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
1122,33,male,1,rent,little,moderate,2384,36,repairs,bad
49,48,male,2,own,,,5190,27,repairs,good
156,39,female,1,own,,moderate,932,6,education,good
307,30,male,2,own,,moderate,2028,12,car,good
1288,48,male,2,own,little,little,1082,12,car,bad
463,34,male,2,own,rich,moderate,3496,30,furniture/equipment,good
1099,41,male,2,own,little,little,2712,36,furniture/equipment,bad
713,33,male,2,own,little,moderate,1245,18,radio/TV,bad
1258,25,female,2,rent,,little,1371,24,car,bad
853,25,male,2,own,little,moderate,4933,39,radio/TV,bad
1001,31,male,2,own,,little,6350,30,furniture/equipment,bad
1384,44,female,3,free,little,moderate,12579,24,car,bad
1169,26,male,3,own,little,,4463,36,radio/TV,bad
989,24,male,1,rent,little,little,1546,24,radio/TV,bad
862,42,male,2,own,little,little,4153,18,furniture/equipment,bad
721,48,male,2,own,little,little,1082,12,car,bad
1106,32,male,2,free,rich,moderate,1136,9,education,bad
1389,34,male,2,own,little,little,6999,48,radio/TV,bad
1016,34,male,2,own,little,little,3965,42,radio/TV,bad
740,24,male,2,own,little,little,9629,36,car,bad
523,30,male,3,own,,little,14179,39,furniture/equipment,good
1167,40,male,3,own,,little,1977,36,education,bad
731,34,female,3,own,little,moderate,1501,9,education,bad
244,28,male,2,own,little,little,4169,24,furniture/equipment,good
411,24,female,2,own,little,,2788,15,furniture/equipment,good
436,27,male,2,own,little,moderate,3652,21,business,good
911,25,male,1,rent,little,,2210,10,furniture/equipment,bad
1128,48,male,2,own,little,little,1082,12,car,bad
1330,28,female,2,rent,quite rich,moderate,4113,24,car,bad
454,22,male,2,free,little,little,3973,14,car,good
1285,24,male,2,own,little,little,9271,36,car,bad
913,24,female,2,own,little,little,3190,18,radio/TV,bad
55,51,male,3,free,little,little,1164,8,vacation/others,good
1067,35,male,2,free,little,little,3386,12,car,bad
313,20,male,2,own,little,,1313,9,furniture/equipment,good
814,26,female,0,rent,little,moderate,1778,15,car,bad
110,39,female,2,own,little,little,860,6,car,good
882,38,male,2,free,little,rich,947,24,car,bad
343,35,male,1,own,little,,4679,24,car,good
592,28,male,2,own,little,,1249,24,car,good
1329,29,female,2,own,little,little,3959,15,car,bad
1352,25,female,1,own,little,moderate,1355,24,car,bad
297,43,male,2,own,,,2197,24,car,good
421,42,female,2,rent,,moderate,1965,24,car,good
969,29,male,2,own,little,little,6887,36,education,bad
619,36,male,2,own,,moderate,2181,30,car,good
287,31,female,2,own,little,little,1957,6,radio/TV,good
1345,42,male,3,own,little,,2292,12,business,bad
1248,26,female,2,own,little,moderate,9960,48,furniture/equipment,bad
127,36,male,2,own,quite rich,,909,36,car,good
933,35,female,2,own,,little,1381,24,car,bad
495,41,male,2,own,moderate,moderate,2503,30,business,good
1082,21,female,2,rent,moderate,moderate,3441,30,furniture/equipment,bad
364,28,male,2,own,moderate,rich,1323,6,car,good
171,42,male,1,own,little,,1544,4,radio/TV,good
978,23,male,1,own,little,moderate,1246,24,car,bad
340,63,male,2,own,little,little,2924,24,car,good
395,32,male,2,own,little,,1552,24,radio/TV,good
210,26,male,2,own,little,little,4788,48,car,good
1170,25,female,2,rent,,little,1371,24,car,bad
141,29,male,2,rent,little,,2108,6,radio/TV,good
1296,24,female,2,rent,little,little,4308,48,business,bad
1023,54,male,3,own,rich,,4591,24,business,bad
375,40,male,1,own,little,little,1361,6,car,good
412,27,female,2,own,little,moderate,2930,12,radio/TV,good
200,32,male,2,own,little,,2697,9,radio/TV,good
1205,32,female,1,own,moderate,moderate,931,6,car,bad
683,64,female,2,own,little,moderate,753,6,radio/TV,good
977,60,male,1,own,little,little,1199,24,car,bad
839,31,male,2,own,moderate,,3621,24,radio/TV,bad
11,25,male,2,own,,little,8072,30,business,good
148,38,male,3,free,little,little,10623,30,car,good
462,27,male,3,own,little,,6314,24,vacation/others,good
283,27,female,2,own,little,,1449,9,business,good
299,26,male,3,own,quite rich,,3235,24,radio/TV,good
544,37,male,2,own,little,,3535,36,car,good
292,43,female,1,own,rich,,1516,24,radio/TV,good
530,25,female,2,own,little,,5771,30,radio/TV,good
944,24,male,1,rent,little,little,1546,24,radio/TV,bad
1203,30,male,3,free,,,12680,21,car,bad
478,31,male,1,own,moderate,moderate,9857,36,business,good
514,28,female,2,rent,rich,,2603,24,car,good
332,36,male,2,rent,little,little,3905,11,car,good
1125,43,male,1,own,little,,1533,18,furniture/equipment,bad
939,43,male,2,free,little,little,1333,24,car,bad
1221,25,female,1,own,little,rich,2327,15,radio/TV,bad
1121,30,male,3,own,little,little,1823,24,radio/TV,bad
136,65,male,2,own,little,little,571,21,car,good
999,33,male,1,own,little,little,2579,12,car,bad
875,55,male,2,free,rich,,1555,12,repairs,bad
1190,37,female,1,own,little,little,1274,12,car,bad
583,42,female,2,own,,moderate,5084,24,radio/TV,good
1033,31,male,2,rent,little,little,3161,24,business,bad
678,40,male,1,own,little,little,3939,11,car,good
589,50,male,2,own,little,,1559,24,business,good
159,24,male,1,rent,little,little,3021,24,furniture/equipment,good
1213,30,female,3,own,,little,7174,42,radio/TV,bad
1343,26,female,1,rent,moderate,moderate,4280,30,business,bad
935,29,male,2,own,little,little,5179,36,furniture/equipment,bad
639,27,male,2,own,,moderate,3711,36,education,good
1381,31,male,2,own,,little,6350,30,furniture/equipment,bad
433,27,male,3,free,,moderate,9157,60,radio/TV,good
486,29,male,2,own,moderate,moderate,2896,24,radio/TV,good
1037,36,male,2,own,little,moderate,3915,27,business,bad
696,50,male,2,own,,,2390,12,car,good
941,36,male,2,own,little,little,1372,12,car,bad
1011,33,female,2,rent,little,little,3966,18,car,bad
840,22,male,2,rent,moderate,moderate,3092,24,radio/TV,bad
97,24,female,2,own,,moderate,8487,48,car,good
1393,30,female,3,own,little,moderate,5096,48,furniture/equipment,bad
1250,41,male,1,own,little,moderate,888,12,car,bad
760,24,female,2,rent,rich,moderate,433,6,education,bad
539,63,male,1,own,little,,1655,12,radio/TV,good
157,31,male,2,own,little,little,3104,18,business,good
550,60,male,3,own,,moderate,6468,20,car,good
572,54,female,2,rent,little,moderate,7432,36,car,good
424,45,female,2,own,little,moderate,2329,7,radio/TV,good
763,25,male,2,rent,moderate,moderate,1264,15,car,bad
391,45,female,1,own,little,rich,3049,18,furniture/equipment,good
784,28,male,2,own,little,,2169,18,business,bad
786,33,male,2,rent,little,little,950,15,car,bad
1210,30,female,3,own,little,moderate,5096,48,furniture/equipment,bad
568,65,male,2,own,,,930,12,radio/TV,good
971,74,female,3,free,little,moderate,5129,9,car,bad
1263,32,male,1,free,little,little,1442,18,car,bad
309,34,male,3,own,moderate,,1591,21,furniture/equipment,good
990,68,male,2,rent,,,6761,18,car,bad
561,35,male,0,own,,moderate,1549,9,car,good
1159,39,male,2,free,little,little,10297,48,car,bad
949,40,male,3,own,moderate,,4623,15,education,bad
711,26,male,3,own,little,,4463,36,radio/TV,bad
1027,44,male,2,own,little,little,1553,18,furniture/equipment,bad
353,44,male,2,own,quite rich,,1163,12,car,good
125,36,male,2,own,quite rich,,1262,15,domestic appliances,good
179,35,male,2,rent,moderate,,1204,6,car,good
288,31,male,3,own,little,,2406,9,furniture/equipment,good
1350,28,male,2,own,little,moderate,3060,48,radio/TV,bad
1164,33,male,1,own,moderate,little,727,12,radio/TV,bad
295,27,male,1,own,little,,802,14,car,good
1358,47,male,2,free,,little,8335,36,car,bad
1238,44,male,2,own,little,little,1553,18,furniture/equipment,bad
994,37,female,1,own,little,little,1274,12,car,bad
426,22,male,2,own,quite rich,little,2828,24,furniture/equipment,good
1196,23,female,1,own,moderate,moderate,836,12,car,bad
237,39,male,1,own,little,little,3398,8,car,good
89,27,female,2,rent,,little,2132,10,furniture/equipment,good
821,60,male,2,own,little,little,2246,12,furniture/equipment,bad
902,33,male,2,rent,little,rich,2319,21,education,bad
1161,31,male,2,own,moderate,,3621,24,radio/TV,bad
584,21,female,2,own,,,886,12,radio/TV,good
1354,32,female,2,rent,,little,1285,24,car,bad
1360,23,female,2,own,quite rich,little,4281,33,furniture/equipment,bad
943,20,female,2,rent,little,little,2039,18,furniture/equipment,bad
1222,39,male,3,rent,little,little,3345,24,furniture/equipment,bad
778,29,male,3,rent,moderate,moderate,9034,36,furniture/equipment,bad
291,46,male,2,own,little,little,2348,36,furniture/equipment,good
286,39,male,3,free,little,little,3249,36,car,good
742,36,male,2,own,little,moderate,3915,27,business,bad
1328,43,male,2,rent,little,little,4843,12,car,bad
528,49,female,2,own,little,little,428,6,furniture/equipment,good
797,20,female,1,rent,little,moderate,2718,24,car,bad
267,40,female,2,rent,little,moderate,3001,18,furniture/equipment,good
328,29,female,2,own,little,,518,6,radio/TV,good
349,23,female,1,own,little,moderate,3573,12,radio/TV,good
448,38,male,1,own,little,moderate,1308,15,repairs,good
60,22,male,2,own,little,moderate,3832,30,furniture/equipment,good
406,41,male,2,own,,moderate,3979,48,radio/TV,good
986,25,female,2,own,,moderate,2762,12,furniture/equipment,bad
1322,53,male,2,free,little,little,7119,48,furniture/equipment,bad
827,54,male,2,own,little,little,3051,48,domestic appliances,bad
953,47,male,2,free,moderate,moderate,12612,36,education,bad
889,22,female,2,own,little,moderate,1670,9,radio/TV,bad
945,29,female,2,own,,little,915,24,car,bad
810,34,female,3,own,little,moderate,2064,24,furniture/equipment,bad
934,60,female,3,free,moderate,moderate,14782,60,vacation/others,bad
1024,43,male,2,free,little,little,1333,24,car,bad
334,32,male,2,own,little,,4594,18,radio/TV,good
434,37,male,2,rent,little,little,3676,6,car,good
669,37,male,1,own,little,moderate,1154,9,radio/TV,good
1311,37,female,2,rent,little,little,7685,48,business,bad
1392,27,male,2,own,rich,moderate,10961,48,radio/TV,bad
637,20,male,3,rent,little,little,1107,12,radio/TV,good
766,27,male,2,own,little,little,5998,40,education,bad
1166,38,male,2,own,,,3914,48,business,bad
1025,32,male,2,own,little,,1530,18,car,bad
1300,31,male,2,rent,little,little,2302,36,radio/TV,bad
830,23,male,0,own,,moderate,14555,6,car,bad
1217,21,female,2,rent,little,,2570,27,car,bad
399,27,male,2,own,moderate,moderate,1995,12,car,good
459,50,male,2,own,little,,2241,21,furniture/equipment,good
888,36,male,2,rent,little,little,7297,60,business,bad
567,26,male,1,own,little,moderate,590,6,radio/TV,good
329,34,male,2,own,little,,2759,12,furniture/equipment,good
101,38,female,2,own,,,1240,12,radio/TV,good
319,37,female,2,own,rich,,1287,24,car,good
1370,24,male,2,free,little,little,4605,48,car,bad
84,31,male,2,own,moderate,moderate,1449,6,business,good
130,25,female,2,rent,little,,3972,24,furniture/equipment,good
965,29,female,2,own,little,moderate,959,9,furniture/equipment,bad
13,48,male,2,own,little,,2134,9,car,good
582,44,male,2,own,quite rich,,2375,24,business,good
172,35,female,2,own,little,,1291,12,radio/TV,good
1227,40,male,3,own,,little,1977,36,education,bad
1286,30,male,3,own,little,moderate,4455,36,business,bad
261,37,male,3,own,,rich,3399,12,radio/TV,good
723,74,female,3,free,little,moderate,5129,9,car,bad
1044,40,male,1,own,,little,1647,21,car,bad
728,44,male,2,own,little,little,1553,18,furniture/equipment,bad
1306,22,male,2,own,little,,1478,9,radio/TV,bad
988,48,male,2,own,little,little,1082,12,car,bad
333,27,female,2,own,little,little,343,6,domestic appliances,good
356,35,male,1,rent,moderate,,1418,10,car,good
139,68,male,0,free,little,moderate,1175,16,car,good
382,31,female,2,own,moderate,,1532,15,education,good
293,39,male,2,own,little,,1473,18,radio/TV,good
1140,28,male,2,own,little,moderate,3060,48,radio/TV,bad
543,66,male,0,free,quite rich,rich,1480,12,car,good
142,28,female,2,own,little,,1382,6,radio/TV,good
745,29,male,2,own,little,little,6887,36,education,bad
1146,39,male,2,free,,rich,1271,15,radio/TV,bad
603,20,female,2,rent,quite rich,,2221,15,furniture/equipment,good
140,33,female,2,own,little,moderate,3244,18,furniture/equipment,good
1229,35,male,2,free,little,little,3386,12,car,bad
1084,21,male,1,rent,little,little,1987,24,radio/TV,bad
225,22,male,1,rent,little,moderate,276,9,car,good
559,22,female,1,rent,little,,1258,12,furniture/equipment,good
275,39,male,2,own,,little,2212,20,furniture/equipment,good
324,41,female,1,rent,,,1244,9,education,good
1307,21,female,2,rent,little,,2570,27,car,bad
410,27,male,1,own,little,moderate,1082,9,radio/TV,good
326,55,female,3,own,,rich,1424,12,furniture/equipment,good
1279,35,male,2,own,little,little,691,12,car,bad
300,20,female,2,own,little,moderate,1967,24,radio/TV,good
781,42,female,2,own,little,moderate,3804,36,radio/TV,bad
1080,24,female,2,own,little,little,3190,18,radio/TV,bad
1302,51,male,2,free,,little,7511,18,car,bad
1301,23,female,1,own,little,little,976,18,car,bad
1118,34,female,1,free,little,moderate,1837,24,education,bad
1385,22,female,2,own,little,,1808,18,furniture/equipment,bad
504,40,male,2,own,,,3077,30,radio/TV,good
673,29,male,2,own,,,3556,15,car,good
4,35,male,1,free,,,9055,36,education,good
661,42,male,1,own,little,,1455,4,car,good
468,42,male,3,own,little,,10366,60,car,good
322,30,female,2,own,little,little,1620,12,furniture/equipment,good
6,35,male,3,rent,little,moderate,6948,36,car,good
1031,28,female,3,own,little,,3349,36,furniture/equipment,bad
917,29,male,2,own,little,little,5179,36,furniture/equipment,bad
40,30,male,3,own,little,moderate,5965,27,car,good
243,23,female,1,own,little,moderate,2101,13,radio/TV,good
137,50,male,2,own,rich,,3777,24,furniture/equipment,good
614,36,male,3,free,little,little,1940,18,radio/TV,good
1102,28,female,3,own,little,,3349,36,furniture/equipment,bad
598,40,female,2,own,,,894,10,education,good
1147,31,male,2,own,little,,2775,18,car,bad
1324,48,male,2,own,little,little,1024,24,radio/TV,bad
931,25,female,2,own,,moderate,2762,12,furniture/equipment,bad
1266,23,female,1,own,little,little,976,18,car,bad
1337,37,male,2,free,,moderate,12389,36,car,bad
377,36,male,2,free,,,700,6,radio/TV,good
315,36,male,3,free,little,little,1872,6,furniture/equipment,good
443,23,male,2,own,,moderate,1444,15,radio/TV,good
320,65,male,0,own,little,little,3394,42,repairs,good
712,34,male,1,own,little,rich,2864,18,furniture/equipment,bad
701,42,male,2,own,little,little,3446,36,furniture/equipment,bad
425,23,female,2,own,little,rich,1275,10,furniture/equipment,good
789,45,male,2,own,little,little,2303,24,car,bad
1068,29,male,3,own,little,moderate,11328,24,vacation/others,bad
1143,47,male,2,free,,little,8335,36,car,bad
552,40,male,2,own,quite rich,,2675,22,radio/TV,good
228,26,female,2,own,little,rich,3749,24,furniture/equipment,good
630,28,female,3,rent,little,little,2606,21,radio/TV,good
716,36,male,2,rent,little,little,7297,60,business,bad
866,35,female,2,own,,little,1381,24,car,bad
611,24,female,2,own,,,874,15,domestic appliances,good
67,30,male,3,own,moderate,little,2249,18,car,good
1107,57,male,1,own,little,little,709,12,radio/TV,bad
874,23,female,1,own,little,little,976,18,car,bad
212,49,female,2,own,little,moderate,1092,12,radio/TV,good
910,23,male,1,own,little,moderate,1246,24,car,bad
692,37,male,1,own,,,3565,12,education,good
537,31,female,2,rent,,,2901,10,car,good
632,33,female,1,rent,,,2186,15,furniture/equipment,good
586,63,male,2,own,little,little,2957,24,car,good
86,28,male,1,rent,little,moderate,6260,18,car,good
1260,23,female,2,rent,little,,7127,36,furniture/equipment,bad
904,22,male,2,rent,moderate,moderate,3092,24,radio/TV,bad
809,23,female,1,rent,little,little,6229,36,furniture/equipment,bad
585,23,female,1,rent,little,,601,4,furniture/equipment,good
1261,22,female,2,own,little,moderate,5951,48,radio/TV,bad
924,28,female,2,rent,moderate,moderate,2631,15,car,bad
1309,31,male,2,own,little,,2775,18,car,bad
900,25,female,1,own,little,rich,2327,15,radio/TV,bad
274,52,female,1,own,moderate,,362,6,car,good
1002,29,female,1,rent,little,little,1659,24,radio/TV,bad
363,32,male,1,own,little,moderate,1301,18,radio/TV,good
3,45,male,2,free,little,little,7882,42,furniture/equipment,good
7,61,male,1,own,rich,,3059,12,radio/TV,good
312,46,male,2,own,rich,,1149,18,radio/TV,good
1165,21,female,2,rent,little,,2570,27,car,bad
829,30,male,2,free,quite rich,little,3349,24,furniture/equipment,bad
1382,48,female,1,free,moderate,rich,1240,10,car,bad
216,46,male,3,own,,,7629,48,business,good
606,37,male,2,own,,,7409,36,business,good
28,37,male,2,own,little,rich,1225,10,domestic appliances,good
1183,24,female,2,own,little,little,3190,18,radio/TV,bad
765,29,female,1,rent,quite rich,,1123,12,furniture/equipment,bad
599,28,male,2,free,little,,3343,15,furniture/equipment,good
665,40,male,0,own,little,moderate,3590,18,business,good
899,33,male,2,rent,little,rich,2319,21,education,bad
1259,52,male,3,own,,moderate,6468,12,radio/TV,bad
257,46,male,2,free,quite rich,,727,10,education,good
26,33,female,3,own,little,rich,1474,12,furniture/equipment,good
337,34,female,3,rent,little,moderate,3017,12,furniture/equipment,good
573,62,male,2,own,quite rich,,1338,6,domestic appliances,good
48,26,female,2,own,little,,3181,24,radio/TV,good
107,27,male,3,own,little,little,3416,27,radio/TV,good
350,26,male,2,own,little,moderate,1201,24,car,good
56,41,female,1,own,little,moderate,5954,42,business,good
811,34,female,1,free,little,moderate,1837,24,education,bad
214,44,female,3,free,little,little,6419,24,car,good
121,38,male,2,own,moderate,moderate,3512,24,car,good
768,22,female,2,own,little,moderate,1670,9,radio/TV,bad
651,43,male,1,own,little,little,1344,12,car,good
73,34,male,2,own,moderate,moderate,2622,18,business,good
979,25,female,2,rent,,little,1371,24,car,bad
1048,57,male,3,free,little,moderate,14318,36,car,bad
46,27,male,2,own,little,moderate,1391,9,business,good
1378,24,male,2,own,little,little,9271,36,car,bad
524,28,male,1,own,little,little,1797,13,business,good
1214,23,female,1,rent,little,little,3234,24,furniture/equipment,bad
998,22,female,2,own,little,moderate,1670,9,radio/TV,bad
702,31,male,2,rent,little,little,3161,24,business,bad
534,24,male,1,own,little,little,2214,12,radio/TV,good
604,27,female,2,own,little,little,2389,18,radio/TV,good
466,27,male,1,own,moderate,,4139,24,business,good
1321,44,male,2,free,quite rich,,10127,48,car,bad
1199,34,male,1,own,little,little,11998,30,repairs,bad
1364,42,female,2,own,little,moderate,3804,36,radio/TV,bad
61,47,male,2,own,quite rich,,1213,15,radio/TV,good
93,63,male,2,free,little,rich,781,10,car,good
623,40,male,2,rent,,,7824,28,car,good
195,38,female,2,own,little,,1533,24,radio/TV,good
281,40,male,3,own,little,moderate,7374,18,furniture/equipment,good
360,38,male,2,own,,moderate,368,6,radio/TV,good
520,23,male,1,own,little,moderate,1048,10,radio/TV,good
885,22,female,2,own,little,,1808,18,furniture/equipment,bad
680,43,male,1,own,little,,7393,24,car,good
183,35,male,2,own,moderate,,4151,24,furniture/equipment,good
111,51,female,2,own,moderate,,682,12,car,good
964,31,male,2,own,moderate,,3621,24,radio/TV,bad
808,24,male,2,own,moderate,moderate,5595,72,radio/TV,bad
205,50,male,2,own,little,,1574,12,furniture/equipment,good
856,31,male,1,own,little,moderate,1928,18,furniture/equipment,bad
53,30,female,2,own,little,,8133,36,car,good
546,38,male,3,own,rich,,5711,36,car,good
1058,39,male,2,free,little,little,10297,48,car,bad
1032,47,male,1,own,little,little,1217,18,domestic appliances,bad
755,53,female,3,own,,,7485,30,car,bad
667,57,female,3,rent,rich,little,1231,24,radio/TV,good
184,24,male,2,own,,moderate,2030,9,furniture/equipment,good
138,31,male,2,own,little,,1360,15,radio/TV,good
859,28,female,3,own,little,,3349,36,furniture/equipment,bad
81,32,male,2,own,little,moderate,6078,12,car,good
1138,27,male,2,rent,,,7980,36,business,bad
106,30,female,3,own,little,moderate,4795,36,radio/TV,good
542,52,male,2,own,moderate,,2223,24,radio/TV,good
655,23,female,2,own,little,little,1498,12,radio/TV,good
481,30,male,2,free,moderate,moderate,2862,36,car,good
